# ----------------------------------------
# Acquisition
# Account: AccidentalRebel
# Property: Accidental Rebel - GA4
# ----------------------------------------
#  
# Start date: 20250228
# End date: 20260221
Nth day,New users
0342,27
0343,31
0344,19
0345,27
0346,27
0347,39
0348,48
0349,23
0350,8
0351,32
0352,21
0353,10
0354,32
0355,21
0356,26
0357,19
0358,29

#  
# Start date: 20250228
# End date: 20260221
First user primary channel group (Default Channel Group),New users
Direct,2672
Referral,680
Organic Search,525
Organic Social,37
Unassigned,3
Organic Video,1

#  
# Start date: 20260110
# End date: 20260220
Cohort,Active users
0000,1
0001,0.00893743793445879
0002,0.0010121457489878543
0003,0.002079002079002079
0004,0.0010626992561105207
0005,0
0006,0.0011123470522803114
0007,0.0011389521640091116
0008,0.002364066193853428
0009,0.0011933174224343676
0010,0.001226993865030675
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0.0018832391713747645
0022,0
0023,0
0024,0
0025,0.0024813895781637717
0026,0
0027,0.0035087719298245615
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0

#  
# Start date: 20251024
# End date: 20260220
Cohort,Average 120d value
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
